id,store_name,address,lat,lang,created_at,updated_at,deleted_at,slug,status,city_id,store_id,city,state
157,Omaxe Plaza - KFC   ,"KFC, Shop No.15,16,29 and 30 in the Building/Mall, Known As Omaxe Plaza Ludhiana, Pin 141001",30.9024204,75.8336896,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,17,157,Ludhiana,Punjab
325,Doraha - KFC,"Khata No 459/656, West View Plaza, Kh No 1242/9/5, GT Rd, Doraha, Ludhiana, Punjab - 141421",30.8674587,75.9207795,2020-07-02 11:53:00,2020-07-02 11:53:00,,kfc,1,17,325,Ludhiana,Punjab
369,DUGRI - KFC,"Shop No.18, Ground Floor & First Floor, Dugri Market, Urban Estate Phase-1, Ludhiana141002,  Ludhiana, Punjab-141002",30.8743764657402,75.8431482386342,2021-08-26 06:48:23,2021-08-26 06:48:23,,kfc,1,17,369,Ludhiana,Punjab
37,Kharar Sunny Bussiness Centre - KFC ,"KFC SCO 100, Sunny Business Center, Kharar Road, Pin 140301",30.74045,76.675786,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,69,37,Mohali,Punjab
43,VR Punjab - KFC  ,"KFC, SF-09-K16-K18 Second Floor, Food Court , VR Punjab, NH-21, Kharar Road, Pin 160055",30.7363766,76.6783154,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,69,43,Mohali,Punjab
44,SAS Nagar - KFC,KFC SCF ,30.673698,76.740521,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,69,44,Mohali,Punjab
47,"Dhillon Silicon Square, Zirakpur - KFC  ","KFC Dhillon Silicon Square, Chandigarh-Ambala National Highway, Village-Singhpura, Zirakpur, Pin 140603",30.62473,76.824769,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,69,47,Mohali,Punjab
138,Bestech Square Mall - KFC ,"KFC Shop No. 10, 4th Floor, Bestech Square Mall Plot IX, Industry Focal Point Pin 160059",30.6733,76.7398,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,69,138,Mohali,Punjab
45,Patiala - KFC  ,"KFC Sco - 2 & 3, Opp.- Gopal Sweets, In Front Of Surya Complex, Pin 147001",30.3352061,76.385134,2019-10-11 07:17:00,2019-10-11 07:17:00,,kfc,1,32,45,Patiala,Punjab
344,Prime Hub - KFC,"Niyamatpur / Peharkalan, Rajpura-Chandigarh road, NH-7, Rajpura, Patiala, Punjab - 140401",30.505770,76.631844,2020-07-02 12:44:00,2020-07-02 12:44:00,,kfc,1,32,344,Patiala,Punjab
