car_name,car_link,brand_name,status,brand_link,tag_price,transaction_price,car_detail_name_name,oem_name_final
Panamera,https://www.autohome.com.cn/703/#pvareaid=6834145,保时捷(478),停售,https://car.autohome.com.cn/price/brand-40-0-3-1.html,99.80-247.60万元,99.80-247.60万,Panamera,保时捷
Panamera新能源,https://www.autohome.com.cn/4322/#pvareaid=6834145,保时捷(478),停售,https://car.autohome.com.cn/price/brand-40-0-3-1.html,119.30-250.10万元,119.30-250.10万,Panamera新能源,保时捷
Macan,https://www.autohome.com.cn/2838/#pvareaid=6834145,保时捷(478),停售,https://car.autohome.com.cn/price/brand-40-0-3-1.html,57.80-85.80万元,57.80-85.80万,Macan,保时捷
Macan新能源,https://www.autohome.com.cn/7036/#pvareaid=6834145,保时捷(478),在售,https://car.autohome.com.cn/price/brand-40.html,72.80-96.80万元,72.80-96.80万,Macan新能源,保时捷
Cayenne,https://www.autohome.com.cn/172/#pvareaid=6834145,保时捷(478),停售,https://car.autohome.com.cn/price/brand-40-0-3-1.html,94.80-250.80万元,94.80-250.80万,Cayenne,保时捷
Cayenne新能源,https://www.autohome.com.cn/4324/#pvareaid=6834145,保时捷(478),停售,https://car.autohome.com.cn/price/brand-40-0-3-1.html,87.80-199.80万元,87.80-199.80万,Cayenne新能源,保时捷
保时捷718,https://www.autohome.com.cn/4175/#pvareaid=6834145,保时捷(478),停售,https://car.autohome.com.cn/price/brand-40-0-3-1.html,56.50-157.80万元,56.50-157.80万,保时捷718,保时捷
保时捷911,https://www.autohome.com.cn/162/#pvareaid=6834145,保时捷(478),停售,https://car.autohome.com.cn/price/brand-40-0-3-1.html,129.80-300.9992万元,129.80-301.00万,保时捷911,保时捷
918 Spyder,https://www.autohome.com.cn/2073/#pvareaid=6834145,保时捷(478),停售,https://car.autohome.com.cn/price/brand-40-0-3-1.html,N/A,N/A,,N/A
Boxster,https://www.autohome.com.cn/168/#pvareaid=6834145,保时捷(478),停售,https://car.autohome.com.cn/price/brand-40-0-3-1.html,N/A,N/A,,N/A
