store_name,store_linnk,store_locality,store_phone_numbers,store_address,store_landmark
V-Mart - Bhilwara-Rajendra Marg,https://stores.vmartretail.com/v-mart-bhilwara-rajendra-marg-bhopal-ganj-bhilwara-34977/home,"Bhopal Ganj, Bhilwara",+917042900642,"Rajendra Marg, Near Union Bank Of India Main Branch, Rajendra Marg, Near Balaji Temple,पूरण दास जी की बगीची, Bhopal Ganj, Bhilwara, Rajasthan, 311001","Near Balaji Temple,पूरण दास जी की बगीची"
V-Mart - Bahraich-Civil Line,https://stores.vmartretail.com/v-mart-bahraich-civil-line-brahmnipura-bahraich-30897/home,"Brahmnipura, Bahraich",+919810895601,"Icon Tower, Indira Gandhi Stadium Road, Civil Line, Opposite Sneh Utsav Palace, Brahmnipura, Bahraich, Uttar Pradesh, 271801",Opposite Sneh Utsav Palace
V-Mart - Bahraich,https://stores.vmartretail.com/v-mart-bahraich-brahmnipura-bahraich-41831/home,"Brahmnipura, Bahraich",+919311455619,"Kumar Talkies Road, Qanoongopura, Near Kumar City Mall,Bahraich, Brahmnipura, Bahraich, Uttar Pradesh, 271801","Near Kumar City Mall,Bahraich"
V-Mart - Bahraich,https://stores.vmartretail.com/v-mart-bahraich-digiha-bahraich-31031/home,"Digiha, Bahraich",+919369067255,"Rk Tower, Chauraha, Gonda Road, Near Maa Sangharini Mandir Bahraich, Digiha, Bahraich, Uttar Pradesh, 271801",Near Maa Sangharini Mandir Bahraich
V-Mart - Kathua,https://stores.vmartretail.com/v-mart-kathua-kathua-ho-jammu-31078/home,"Kathua H.O, Jammu",+917838128189,"Ground Floor, College Road, Near SHAHEED CAPT SUNIL CHOUDHARY CHOWK, Kathua H.O, Jammu, Jammu And Kashmir, 184101",Near SHAHEED CAPT SUNIL CHOUDHARY CHOWK
V-Mart - Raebareli-Lalganj,https://stores.vmartretail.com/v-mart-raebareli-lalganj-lalganj-raebareli-32952/home,"Lalganj, Raebareli",+919319697765,"Main Bazaar Road, Korihal Sudan Kehda, Korihal Sudan Kehda, Near ICICI Bank Lalganj-Branch & ATM, Lucknow Road, Lalganj, Raebareli, Uttar Pradesh, 229206","Near ICICI Bank Lalganj-Branch & ATM, Lucknow Road"
V-Mart - Fathepur,https://stores.vmartretail.com/v-mart-fathepur-civil-lines-fatehpur-30992/home,"Civil Lines, Fatehpur",+919369460841,"807 A, Narain Tower, Kutchery Road, Near District Collectorate Office,Fatehpur, Civil Lines, Fatehpur, Uttar Pradesh, 212601","Near District Collectorate Office,Fatehpur"
V-Mart - Banda,https://stores.vmartretail.com/v-mart-banda-nazarbagh-banda-30730/home,"Nazarbagh, Banda",+919335003804,"Mayur Multiplex, Chawani Road, Chawani Road, Near Passport Office Banda, Nazarbagh, Banda, Uttar Pradesh, 210001",Near Passport Office Banda
V-Mart - Chhatarpur-Jawahar Road,https://stores.vmartretail.com/v-mart-chhatarpur-jawahar-road-naya-mohalla-chhatarpur-30762/home,"Naya Mohalla, Chhatarpur",+919289792510,"Ab Complex, Jawahar Road, Jawahar Road, Near Gayatri Mandir Rd, Naya Mohalla, Chhatarpur, Madhya Pradesh, 471001",Near Gayatri Mandir Rd
V-Mart - Raibareli,https://stores.vmartretail.com/v-mart-raibareli-pnt-colony-raebareli-30786/home,"Pnt Colony, Raebareli",+919368982062,"Shop No 283, Kutchery Road, Kutchery Road, Near Reliance Digital,Kutchery Rd, Pnt Colony, Raebareli, Uttar Pradesh, 229001","Near Reliance Digital,Kutchery Rd"
V-Mart - Chittorgarh-Udaipur Road,https://stores.vmartretail.com/v-mart-chittorgarh-udaipur-road-lohar-colony-chittorgarh-31088/home,"Lohar Colony, Chittorgarh",+919311388652,"Plot No 1 & 2, Chittorgarh Udaipur Road, Gadia, Near Domino's Pizza, Lohar Colony, Chittorgarh, Rajasthan, 312001",Near Domino's Pizza
"V-Mart - Surya Colony, Jodhpur - Jodhpur-Pali Road",https://stores.vmartretail.com/v-mart-surya-colony-jodhpur-jodhpur-pali-road-surya-colony-jodhpur-37330/home,"Surya Colony, Jodhpur",+919311353778,"Bhagat Ki Kothi, New Pali Road, Near Shri Jhopdi Wale Balaji, Surya Colony, Jodhpur, Rajasthan, 342001",Near Shri Jhopdi Wale Balaji
V-Mart - Jodhpur,https://stores.vmartretail.com/v-mart-jodhpur-pratap-nagar-jodhpur-37516/home,"Pratap Nagar, Jodhpur",+916260757433,"SF Tower, Near Akhaliya Circle, Near Akhilya Circle, Pratap Nagar, Jodhpur, Rajasthan, 342003",Near Akhilya Circle
V-Mart - Gonda,https://stores.vmartretail.com/v-mart-gonda-malviya-nagar-gonda-30810/home,"Malviya Nagar, Gonda",+919369102223,"Plot No 390, Jhanjhari Block, Jhanjhari Block, Near District Women's Hospital, Malviya Nagar, Gonda, Uttar Pradesh, 271001",Near District Women's Hospital
V-Mart - Gonda-Station Road,https://stores.vmartretail.com/v-mart-gonda-station-road-veer-pur-gonda-31066/home,"Veer Pur, Gonda",+919289495577,"Ground Floor, Gonda Station Road, Sahabganj, Near Kamal Motors - Hero MotoCorp,Gonda, Veer Pur, Gonda, Uttar Pradesh, 271002","Near Kamal Motors - Hero MotoCorp,Gonda"
V-Mart - Jammu-Kunjwani,https://stores.vmartretail.com/v-mart-jammu-kunjwani-narwal-jammu-31058/home,"Narwal, Jammu",+917303200897,"Ground Floor, Near Kunjwani Chowk, Near Hotel Rajan Bar & Restaurant,Kunjwani, Jammu, Narwal, Jammu, Jammu & Kashmir, 180010","Near Hotel Rajan Bar & Restaurant,Kunjwani, Jammu"
V-Mart - Jammu,https://stores.vmartretail.com/v-mart-jammu-jewel-chowk-jammu-31043/home,"Jewel Chowk, Jammu",+919667300384,"Plot No 1, Bc Road, Near Shri Raghunath Temple, Jammu, Jewel Chowk, Jammu, Jammu And Kashmir, 180016","Near Shri Raghunath Temple, Jammu"
V-Mart - Kachi Chawni,https://stores.vmartretail.com/v-mart-kachi-chawni-kacchi-chawni-jammu-30892/home,"Kacchi Chawni, Jammu",+918448982289,"Plot No 221, Palace Road, Palace Road, Near Kacchi Chawni, Jammu, Kacchi Chawni, Jammu, Jammu And Kashmir, 180001","Near Kacchi Chawni, Jammu"
V-Mart - Jammu-Talab Tillo,https://stores.vmartretail.com/v-mart-jammu-talab-tillo-shiv-nagar-jammu-30996/home,"Shiv Nagar, Jammu",+917428495288,"Khasra No 212, 213, Khata No 356, Near Poonch House Talab Tillo, Shiv Nagar, Jammu, Jammu and Kashmir, 180002",Near Poonch House Talab Tillo
